created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 23 00:07:57 +0000 2023;1705373398669623501;"@heearchive_ nih benerann😭😭 apa enaknya dehh sosis keju indomaret😅😅👊🏻👊🏻👊🏻";0;1;0;0;in;1436927560047214596;1705337119957475623;stawmatcha;https://twitter.com/stawmatcha/status/1705373398669623501
Fri Sep 22 23:25:12 +0000 2023;1705362642150580256;"Kenapa sosis keju indomaret gaada di sini hahhh";0;0;0;0;in;1320578580552708096;1705362642150580256;gwabuts;https://twitter.com/gwabuts/status/1705362642150580256
Fri Sep 22 12:20:49 +0000 2023;1705195445579055527;"@xabditory IH aku sampe sekarang belum cobain sosis keju indomaret";0;0;0;0;in;1598816927043837953;1705190101008150530;saluvation;https://twitter.com/saluvation/status/1705195445579055527
Fri Sep 22 12:10:11 +0000 2023;1705192769357238705;"Cah infokan tuku sosis Indomaret rasa keju nek ndi sih?? aku golek Kom angel eram mesti gak enek";0;0;0;5;in;1217996995370967040;1705192769357238705;KediriFess;https://twitter.com/KediriFess/status/1705192769357238705
Fri Sep 22 11:46:03 +0000 2023;1705186693081669632;"nyariny sosis keju tp dah muterin indomaret gaada smw 😭😭😭 https://t.co/6nKEZ9X5NH";0;11;0;0;in;1445744766231072779;1705186693081669632;fleeuryn;https://twitter.com/fleeuryn/status/1705186693081669632
Fri Sep 22 10:49:16 +0000 2023;1705172406531391797;"sosis indomaret lebi enak yg ori setelah nyoba yg keju, sama sama enak tpi lebih suka yg ori. pas beli yg keju kemaren asin bgtt dan kayaknya kurang mateng deh";0;0;0;0;in;1413002239703093253;1705172406531391797;9yubearr;https://twitter.com/9yubearr/status/1705172406531391797
Fri Sep 22 10:34:28 +0000 2023;1705168681607782532;"1) fess gak kebagian yang keju, sosis indomaret yang original juga enak weh 😭 gass lah beli! sender pake app klik indomaret https://t.co/nuNoExeX3W";0;1;0;8;in;939277717966544896;1705168681607782532;FOODFESS2;https://twitter.com/FOODFESS2/status/1705168681607782532
Fri Sep 22 09:47:39 +0000 2023;1705156897819816070;"Sebelum sosis keju Indomaret viral, aku udah langganan bgt beli🥺 sekarang cari di Indomaret susah bgt ya Allah🥹";0;0;0;0;in;1130100318;1705156897819816070;moodyglabil;https://twitter.com/moodyglabil/status/1705156897819816070
Fri Sep 22 03:58:30 +0000 2023;1705069033660510488;"sosis keju indomaret enak bgt hiks";0;0;0;0;in;1687403933076185088;1705069033660510488;vousmelune;https://twitter.com/vousmelune/status/1705069033660510488
Fri Sep 22 03:34:14 +0000 2023;1705062922949636352;"@budibongg Pengen Sosis keju Indomaret itu loh uncle, soalnya belum pernah nyoba";0;0;0;0;in;1635858753521336320;1705062633668526088;Minvivt;https://twitter.com/Minvivt/status/1705062922949636352
Fri Sep 22 00:44:48 +0000 2023;1705020285785948612;"@zaitulAbidi11 nitip sosis Indomaret keju kak";0;1;0;0;in;1565841521517428736;1705019359100576039;dilladiley;https://twitter.com/dilladiley/status/1705020285785948612
Thu Sep 21 14:57:22 +0000 2023;1704872453074554957;"td gua iseng nitip sosis indomaret ke bokap pdhl gua ga brhrp apa” krna gua tau gabakal ada, tp pas balik bokap gua ngasi dah tu kantongan indomaret trs gua kaget ko ada eh pas gua buka trnyta bukan yg keju, pantesan ada jir 😁😁😁";0;0;0;0;in;1629877445389344768;1704872453074554957;ccreepyaff;https://twitter.com/ccreepyaff/status/1704872453074554957
Thu Sep 21 12:01:00 +0000 2023;1704828067376718075;"-rek ngidam sosis keju indomaret. Nd endi rek aku kliling mesti kentekan :')";0;2;0;6;in;1152437175587241985;1704828067376718075;sbyfess;https://twitter.com/sbyfess/status/1704828067376718075
Thu Sep 21 08:31:54 +0000 2023;1704775447198998908;"@nugiwicak and its just for the sex cus sosis keju indomaret selalu di hati";0;1;0;1;in;42592867;1704771814126506340;dekoprams;https://twitter.com/dekoprams/status/1704775447198998908
Thu Sep 21 08:17:28 +0000 2023;1704771814126506340;"menikah dengan sosis keju indomaret";1;3;1;5;in;42592867;1704771814126506340;dekoprams;https://twitter.com/dekoprams/status/1704771814126506340
Thu Sep 21 07:38:57 +0000 2023;1704762123908530342;"sosis indomaret yg keju sekarang susah bgt anjir abis muluu";0;0;0;0;in;1153859071180591104;1704762123908530342;i7_WINWIN;https://twitter.com/i7_WINWIN/status/1704762123908530342
Thu Sep 21 07:22:33 +0000 2023;1704757996746940632;"jember dah ada sosis keju indomaret gais https://t.co/DQzb21wLMv";0;2;0;12;in;1349570550100762626;1704757996746940632;Punsel__;https://twitter.com/Punsel__/status/1704757996746940632
Wed Sep 20 17:20:56 +0000 2023;1704546195484590255;"pengen sosis keju indomaret";0;0;0;0;in;1302620237334888448;1704546195484590255;ursweetez;https://twitter.com/ursweetez/status/1704546195484590255
Wed Sep 20 13:54:16 +0000 2023;1704494184692949422;"Menurut gue sosis indomaret yg keju tuh terlalu asin gasih? Lebih suka yg ori gabegitu asin";0;0;0;0;in;1154040935115702272;1704494184692949422;theonlyyoongi;https://twitter.com/theonlyyoongi/status/1704494184692949422
Wed Sep 20 12:22:13 +0000 2023;1704471019678003608;"pgn sosis keju indomaret tp mbe okik gak ditukokno";0;1;0;1;in;1335065706342227969;1704471019678003608;intansalmaaa0;https://twitter.com/intansalmaaa0/status/1704471019678003608
Wed Sep 20 10:58:53 +0000 2023;1704450047050719385;"@FOODFESS2 ihh mu beli sosis keju indomaret kosong muly";0;0;0;0;in;1690758148209156096;1704364410708623597;kdlbntnc;https://twitter.com/kdlbntnc/status/1704450047050719385
Wed Sep 20 09:49:24 +0000 2023;1704432561152496102;""kak,tau sosis keju indomaret itu kan?? bikin dong ver siapa aja gituuu. kalo soal konsep mah pasti tau kaann?? itu kan cocis ny muncrat tuu, ahh pasti tau lah yaaa" - Sip, noted #tellonym  https://t.co/QXvwd7IlRg";0;1;0;0;in;1682270079378165760;1704432561152496102;zeikeun;https://twitter.com/zeikeun/status/1704432561152496102
Wed Sep 20 08:37:53 +0000 2023;1704414565361234150;"@FOODFESS2 sukaa bgt, macha frape sm sosisnya gk pernah gagal, malah sekarang tiap ke indomaret beli sosis mulu walau bukan yg keju";0;0;0;0;in;1384754134515994625;1704364410708623597;ikafitri701;https://twitter.com/ikafitri701/status/1704414565361234150
Wed Sep 20 04:44:54 +0000 2023;1704355931474252273;"mencari sosis keju indomaret 😞";0;0;0;0;in;1275061599716306949;1704355931474252273;aigooshhx;https://twitter.com/aigooshhx/status/1704355931474252273
Wed Sep 20 03:41:46 +0000 2023;1704340046042853695;"sosis keju indomaret uda masuk lampung belum si  mohon infoo unila!";0;5;0;2;in;1367063449977585664;1704340046042853695;unilabase;https://twitter.com/unilabase/status/1704340046042853695
Wed Sep 20 00:34:06 +0000 2023;1704292818439848355;"Aku mau sosis keju indomaret";0;0;0;0;in;2759050396;1704292818439848355;TheSoir;https://twitter.com/TheSoir/status/1704292818439848355
Tue Sep 19 15:19:59 +0000 2023;1704153368296571052;"nyerah nyari sosis bakar keju indomaret susah bgttt";0;0;0;0;in;134371025;1704153368296571052;zulllfss;https://twitter.com/zulllfss/status/1704153368296571052
Tue Sep 19 13:01:33 +0000 2023;1704118529635848652;"@MenfessUnej gaada nder, kata mbak" indomaret tu sosis keju belum ada di Jember😭";0;0;0;0;in;1628983059185041408;1703924869149364695;fairryyytalee;https://twitter.com/fairryyytalee/status/1704118529635848652
Tue Sep 19 12:20:47 +0000 2023;1704108273610502610;"Infoin dong sosis keju indomaret di tuban ready dimana?????? Pengen banget😔";0;3;0;0;in;2441518345;1704108273610502610;sbilanindya;https://twitter.com/sbilanindya/status/1704108273610502610
Tue Sep 19 11:55:50 +0000 2023;1704101993357435048;"@simp4bo Sosis indomaret yang keju sekarang soldout mulu 😭";0;1;0;0;in;1648003416680181766;1704087959937728798;moonlighsct;https://twitter.com/moonlighsct/status/1704101993357435048
